0
Gossypium hirsutum
Girardinichthys multiradiatus
Schistosoma japonicum
Schistocerca piceifrons
Schistocerca americana
Mimumesa dahlbomi
Sphecodes monilicornis
Seladonia tumulorum
Dolichovespula sylvestris
Macropis europaea
Cymbidium sinense
Aegilops speltoides
Salmo salar
Ceratotherium simum
Drechmeria coniospora
Fusarium circinatum
Bos taurus
Mentha longifolia
Areca catechu
Acanthochromis polyacanthus
Nephelium lappaceum
Prunus dulcis
Daphnia pulicaria
Micropterus dolomieu
Epichloe typhina
Apeltes quadracus
Zea mays
Procambarus clarkii
Shinisaurus crocodilurus
Capsicum annuum
Anadara kagoshimensis
Delia radicum
Stichopus chloronotus
Populus deltoides
Brenthis ino
Acleris sparsana
Marasmarcha lunaedactyla
Erebia aethiops
Meles meles
Agonopterix subpropinquella
Gari tellinella
Sicus ferrugineus
Euplexia lucipara
Solen grandis
Oncorhynchus gorbuscha
Saccharomyces cerevisiae
Diprion similis
Neodiprion fabricii
Neodiprion pinetum
Homalodisca vitripennis
Panthera tigris
Daphnia pulex
Penicillium oxalicum
Aplocera efformata
Ischnura elegans
Phorcus lineatus
Nemoura dubitans
Nemurella pictetii
Immersiporthe knoxdaviesiana
Colaptes auratus
Sphaerodactylus townsendi
Boehmeria nivea
Chloranthus sessilifolius
Prinia subflava
Seriola aureovittata
Sitodiplosis mosellana
Mangifera indica
Odocoileus hemionus
Hirundo rustica
Plazaster borealis
Cryptococcus neoformans
Undaria pinnatifida
Cyberlindnera sargentensis
Clusia tigrina
Eupeodes latifasciatus
Melanargia galathea
Trachurus trachurus
Bombus campestris
Fusarium graminearum
Cucumis melo
Folsomia candida
Vaccinium darrowii
Rhodamnia argentea
Manihot esculenta
Neofusicoccum parvum
Arabidopsis thaliana
Philereme vetulata
Notodonta ziczac
Diadumene lineata
Aplidium turbinatum
Hedya salicella
Melinaea marsaeus
Pholis gunnellus
Zygaena filipendulae
Melinaea menophilus
Limnephilus marmoratus
Criorhina berberina
Selenia dentaria
Heliconius sara
Vanrija pseudolonga
Coccomyxa sp. Obi
Eulithis prunata
Arachis ipaensis
Macaca fascicularis
Aphelinus certus
Anopheles stephensi
Aphelinus atriplicis
Mythimna separata
Schizaphis graminum
Rhopalosiphum padi
Dioscorea alata
Aquilegia kansuensis
Lepeophtheirus salmonis
Agrochola macilenta
Xestia xanthographa
Dasyurus viverrinus
Sarcoptes scabiei
Diceros bicornis
Candida auris
Yoshiicerus persimilis
Mercenaria mercenaria
Calonectria ilicicola
Arion vulgaris
Pantala flavescens
Malus sieversii
Candida glabrata
Daphnia magna
Porphyrio hochstetteri
Ziziphus jujuba
Xanthoceras sorbifolium
Synanthedon vespiformis
Leishmania major
Agelaius phoeniceus
Ceratopteris richardii
Hemiscyllium ocellatum
Trogon surrucura
Hemiprocne comata
Theristicus caerulescens
Tautogolabrus adspersus
Apus apus
Lemur catta
Coregonus clupeaformis
Jaculus jaculus
Corvus hawaiiensis
Crassostrea ariakensis
Telenomus remus
Rhododendron henanense
Cenchrus americanus
Bostrychus sinensis
Linum usitatissimum
Drosophila persimilis
Drosophila pseudoobscura
Rhizophagus irregularis
Limnephilus lunatus
Neonectria neomacrospora
Ichneumon xanthorius
Dryobotodes eremita
Patella pellucida
Athalia rosae
Trichoderma asperellum
Trichoderma atroviride
Trichoderma virens
Saccharum officinarum
Juglans mandshurica
Juglans nigra
Juglans regia
Trichoderma cornu-damae
Dreissena polymorpha
Saccharomycodes ludwigii
Sus scrofa
Trypanosoma evansi
Camellia sinensis
Neomonachus schauinslandi
Spinacia oleracea
Gynostemma pentaphyllum
Acropora hyacinthus
Gasterosteus nipponicus
Forsythia suspensa
Glycine max
Pholidichthys leucotaenia
Siphamia tubifer
Dimocarpus longan
Echinochloa crus-galli
Chlorops oryzae
Pachypeltis micranthus
